| Yêu cầu ban đầu                         | Yêu cầu viết lại                                                                                                                         | Giải thích lý do                                                            | 
|-----------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------|
| Hệ thống cần thân thiện với người dùng  | Giao diện người dùng được thiết kế đơn giản, dễ thao tác; người mới có thể hoàn thành thao tác đăng nhập và tìm kiếm trong nhỏ hơn 2 phút| Cụ thể hóa "thân thiện" bằng tiêu chí đo lường                              |  
|-----------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------|                                                                                                                                                                                                                                                                                                                                                                                                       
| Trang web phải chạy nhanh               | Thời gian tải trang không vượt quá 3 giây trên kết nối Internet trung bình                                                               | "Nhanh" được định lượng bằng thời gian tải trang, có thể kiểm tra hiệu năng |
|-----------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------|                                                                                                                                                                                                                                                                                                                                            
| Tìm kiếm cần phải tiện lợi              | Tính năng tìm kiếm cho phép người dùng nhập từ khóa, lọc theo danh mục và hiển thị kết quả trong nhỏ hơn 2 giây                          | Bổ sung tiêu chí "lọc", "tốc độ phản hồi" để đo lường tính tiện lợi         |                               
|-----------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------|                                                                                                                                                                                                                                                                                                                                                                                                       
| Ứng dụng phải bảo mật tốt               | Hệ thống sử dụng giao thức HTTPS, mã hóa mật khẩu bằng thuật toán bcrypt, và có cơ chế khóa tài khoản sau 5 lần đăng nhập sai            | Làm rõ các biện pháp bảo mật cụ thể, có thể kiểm chứng được                 |
|-----------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------|                                                                                                                                                                                                                                                                                                                                                                                                         
| Giao diện nên đẹp và dễ nhìn            | Giao diện sử dụng tông màu hài hòa, phông chữ dễ đọc, và bố cục rõ ràng với tối đa 5 mục chính trên thanh menu                           | "Đẹp" và "dễ nhìn" được chuyển thành tiêu chí thiết kế cụ thể               |
|-----------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------|                                                                                                                                                                                                                                                                                                                                                                                                       
| Hệ thống cần có tính linh hoạt cao      | Hệ thống cho phép thêm mới, chỉnh sửa và xóa dữ liệu mà không cần can thiệp mã nguồn                                                     | Xác định rõ "linh hoạt" là khả năng quản trị nội dung mà không cần lập trình|
|-----------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------|                                                                                                                                                                                                                                                                                                                                                                                                   
| Người dùng cảm thấy hài lòng khi sử dụng| Tỷ lệ người dùng đánh giá hài lòng trong khảo sát phản hồi sau khi sử dụng đạt ít nhất 80%                                               | Đưa ra thước đo cụ thể                                                      |
|-----------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------|                                                                                                                                                                                                                                                                                                                                                                                                      
| Ứng dụng cần hoạt động ổn định          | Hệ thống phải duy trì thời gian hoạt động hơn 99,5% mỗi tháng                                                                            | Biến "ổn định" thành chỉ số kỹ thuật                                        |
