| Tiêu chí                                 | Nội dung trả lời                                                                                                                                                 |
|------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| Điểm chưa rõ trong yêu cầu               | - "Trải nghiệm tốt" là một khái niệm mơ hồ, không định nghĩa cụ thể thế nào là “"tốt"                                                                            |
|                                          | - Không nêu rõ tiêu chí đánh giá (tốc độ, độ chính xác, dễ sử dụng hay giao diện)                                                                                |
|                                          | - Không có ngưỡng định lượng hoặc cách đo lường cụ thể                                                                                                           |
|------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| Vì sao chưa đạt chuẩn SRS                | - Yêu cầu này mơ hồ và không đo lường được, vi phạm nguyên tắc SMART (Specific, Measurable, Achievable, Relevant, Testable)                                      |
|                                          | - Không thể kiểm thử được vì không biết "trải nghiệm tốt" nghĩa là gì                                                                                            |                                                                     
|------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------| 
| Cách viết lại rõ ràng hơn (đo lường được)| "Trang tìm kiếm phải hiển thị kết quả trong vòng ít hơn 2 giây đối với 95% truy vấn, và giao diện cần cho phép người dùng lọc kết quả theo danh mục và ngày đăng"|                                                                                                                                                                                                                                                                                                          
|------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------| 
| Có thể kiểm thử như thế nào              | - Kiểm thử hiệu năng: đo thời gian phản hồi của chức năng tìm kiếm trên 1000 truy vấn khác nhau                                                                  |
|                                          | - Kiểm thử khả năng sử dụng: quan sát người dùng thao tác, ghi nhận số lỗi thao tác hoặc thời gian tìm được thông tin                                            |
|                                          | - Kiểm thử chức năng: kiểm tra tính năng lọc và hiển thị kết quả chính xác theo tiêu chí đã chọn                                                                 |                                                                                                                                           
 

