| Test ID| Mô tả Test                           | Input                               | Kỳ vọng                                                                                                      | Kết quả (Pass/Fail)|
|--------|--------------------------------------|-------------------------------------|--------------------------------------------------------------------------------------------------------------|--------------------|
| TC-001 | Thay đổi mật khẩu thành công         | - Đăng nhập vào hệ thống            | Hệ thống hiển thị thông báo "Thay đổi mật khẩu thành công". Người dùng có thể đăng nhập lại bằng mật khẩu mới|                    |
|        |                                      | - Truy cập trang "Thay đổi mật khẩu"|                                                                                                              |                    |
|        |                                      | - Nhập mật khẩu cũ hợp lệ           |                                                                                                              |                    |
|        |                                      | - Nhập mật khẩu mới hợp lệ          |                                                                                                              |                    |
|        |                                      | - Xác nhận mật khẩu mới trùng khớp  |                                                                                                              |                    | 
|        |                                      | - Nhấn "Xác nhận"                   |                                                                                                              |                    |
|--------|--------------------------------------|-------------------------------------|--------------------------------------------------------------------------------------------------------------|--------------------|
| TC-002 | Kiểm tra nhập sai mật khẩu cũ        | - Mật khẩu cũ: WrongPass            | Hệ thống hiển thị thông báo "Mật khẩu cũ không đúng", không thay đổi mật khẩu trong cơ sở dữ liệu            |                    |
|        |                                      | - Mật khẩu mới: NewPass456          |                                                                                                              |                    |
|        |                                      | - Xác nhận mật khẩu: NewPass456     |                                                                                                              |                    |
|--------|--------------------------------------|-------------------------------------|--------------------------------------------------------------------------------------------------------------|--------------------|
| TC-003 | Kiểm tra mật khẩu xác nhận không khớp| - Mật khẩu cũ: OldPass123           | Hệ thống hiển thị thông báo "Mật khẩu xác nhận không khớp", không cập nhật mật khẩu                          |                    |
|        |                                      | - Mật khẩu mới: NewPass456          |                                                                                                              |                    |
|        |                                      | - Xác nhận mật khẩu: NewPass456     |                                                                                                              |                    |
